token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
99926000,Nifty 50,NIFTY,,0.000000,1,AMXIDX,NSE,0.000000
99926008,Nifty IT,NIFTY IT,,0.000000,1,AMXIDX,NSE,0.000000
99926009,Nifty Bank,BANKNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
99926016,HangSeng BeES-NAV,HANGSENG BEES-NAV,,0.000000,1,AMXIDX,NSE,0.000000
99926017,India VIX,INDIA VIX,,0.000000,1,AMXIDX,NSE,0.000000
99926018,Nifty Realty,NIFTY REALTY,,0.000000,1,AMXIDX,NSE,0.000000
99926019,Nifty Infra,NIFTY INFRA,,0.000000,1,AMXIDX,NSE,0.000000
99926020,Nifty Energy,NIFTY ENERGY,,0.000000,1,AMXIDX,NSE,0.000000
99926021,Nifty FMCG,NIFTY FMCG,,0.000000,1,AMXIDX,NSE,0.000000
99926022,Nifty MNC,NIFTY MNC,,0.000000,1,AMXIDX,NSE,0.000000
99926023,Nifty Pharma,NIFTY PHARMA,,0.000000,1,AMXIDX,NSE,0.000000
99926024,Nifty PSE,NIFTY PSE,,0.000000,1,AMXIDX,NSE,0.000000
99926025,Nifty PSU Bank,NIFTY PSU BANK,,0.000000,1,AMXIDX,NSE,0.000000
99926026,Nifty Serv Sector,NIFTY SERV SECTOR,,0.000000,1,AMXIDX,NSE,0.000000
99926029,Nifty Auto,NIFTY AUTO,,0.000000,1,AMXIDX,NSE,0.000000
99926030,Nifty Metal,NIFTY METAL,,0.000000,1,AMXIDX,NSE,0.000000
99926031,Nifty Media,NIFTY MEDIA,,0.000000,1,AMXIDX,NSE,0.000000
99926035,Nifty Commodities,NIFTY COMMODITIES,,0.000000,1,AMXIDX,NSE,0.000000
99926036,Nifty Consumption,NIFTY CONSUMPTION,,0.000000,1,AMXIDX,NSE,0.000000
99926037,Nifty Fin Service,FINNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
99926041,Nifty CPSE,NIFTY CPSE,,0.000000,1,AMXIDX,NSE,0.000000
99926047,Nifty Pvt Bank,NIFTY PVT BANK,,0.000000,1,AMXIDX,NSE,0.000000
99926055,Nifty GS Compsite,NIFTY GS COMPSITE,,0.000000,1,AMXIDX,NSE,0.000000
99926074,NIFTY MID SELECT,MIDCPNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
10794,CANBK-EQ,CANBK,,-1.000000,1,,NSE,1.000000
11287,UPL-EQ,UPL,,-1.000000,1,,NSE,5.000000
11483,LT-EQ,LT,,-1.000000,1,,NSE,10.000000
11571,PPLPHARMA-EQ,PPLPHARMA,,-1.000000,1,,NSE,1.000000
11630,NTPC-EQ,NTPC,,-1.000000,1,,NSE,5.000000
11809,IIFL-EQ,IIFL,,-1.000000,1,,NSE,5.000000
10217,ADANIENSOL-EQ,ADANIENSOL,,-1.000000,1,,NSE,5.000000
10243,SYNGENE-EQ,SYNGENE,,-1.000000,1,,NSE,5.000000
10604,BHARTIARTL-EQ,BHARTIARTL,,-1.000000,1,,NSE,10.000000
10940,DIVISLAB-EQ,DIVISLAB,,-1.000000,1,,NSE,50.000000
11236,JSL-EQ,JSL,,-1.000000,1,,NSE,5.000000
11543,COFORGE-EQ,COFORGE,,-1.000000,1,,NSE,10.000000
11703,ALKEM-EQ,ALKEM,,-1.000000,1,,NSE,10.000000
11723,JSWSTEEL-EQ,JSWSTEEL,,-1.000000,1,,NSE,10.000000
10099,GODREJCP-EQ,GODREJCP,,-1.000000,1,,NSE,10.000000
10666,PNB-EQ,PNB,,-1.000000,1,,NSE,1.000000
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,,-1.000000,1,,NSE,1.000000
11373,BIOCON-EQ,BIOCON,,-1.000000,1,,NSE,5.000000
1185,AMBER-EQ,AMBER,,-1.000000,1,,NSE,50.000000
13285,M&MFIN-EQ,M&MFIN,,-1.000000,1,,NSE,5.000000
14413,PAGEIND-EQ,PAGEIND,,-1.000000,1,,NSE,500.000000
14552,PHOENIXLTD-EQ,PHOENIXLTD,,-1.000000,1,,NSE,10.000000
16675,BAJAJFINSV-EQ,BAJAJFINSV,,-1.000000,1,,NSE,10.000000
18143,JIOFIN-EQ,JIOFIN,,-1.000000,1,,NSE,5.000000
18391,RBLBANK-EQ,RBLBANK,,-1.000000,1,,NSE,1.000000
1922,KOTAKBANK-EQ,KOTAKBANK,,-1.000000,1,,NSE,10.000000
19234,LAURUSLABS-EQ,LAURUSLABS,,-1.000000,1,,NSE,5.000000
2181,BOSCHLTD-EQ,BOSCHLTD,,-1.000000,1,,NSE,500.000000
220,IEX-EQ,IEX,,-1.000000,1,,NSE,1.000000
13538,TECHM-EQ,TECHM,,-1.000000,1,,NSE,10.000000
